country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
France,"Typical of early-maturing, Merlot-based wines from this vintage, this is rich, swirling with black-berry fruits and generous tannins. The fresh, almost crisp aftertaste is already attractive. Drink from 2019.",,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Dassault 2013  Saint-Émilion,Bordeaux-style Red Blend,Château Dassault
US,"While the apricot, orange and green apple flavors in this Chardonnay are strong and sweet, the wine is balanced by brisk acidity and a minerality that feels and tastes like a lick of steel. It's a nice wine to drink now, although it's pricey for what you get.",,87,48.0,California,Russian River Valley,Sonoma,,,Rochioli 2009 Chardonnay (Russian River Valley),Chardonnay,Rochioli
New Zealand,"Of Larry McKenna's 2014 Pinots, this full-bodied offering is the most approachable right now. A rich, velvety texture underscores elegant notes of brown sugar, tea, cherries and cinnamon. Drink now–2030.",Kiwa Single Vineyard,92,59.0,Martinborough,,,Joe Czerwinski,@JoeCz,Escarpment 2014 Kiwa Single Vineyard Pinot Noir (Martinborough),Pinot Noir,Escarpment
Argentina,"Big, fresh, grapy aromas are the greeting on this nice but generic Malbec. The palate is plump and chunky yet bright and fruit-forward, with creamy flavors of dark plum and berry. A clean, focused, short finish functions as a good close.",Estate Bottled,87,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Pascual Toso 2012 Estate Bottled Malbec (Mendoza),Malbec,Pascual Toso
France,"Like many of the Perrin & Fils wines, this one is firmly structured, its cherry and cocoa flavors ending on a dusty, tannic note. But the fruit is attractive, and even boasts some complexity in the wisps of garrigue on the nose. Probably best from 2013–2017.",,87,15.0,Rhône Valley,Côtes du Rhône Villages,,Joe Czerwinski,@JoeCz,Perrin & Fils 2009 Red (Côtes du Rhône Villages),Rhône-style Red Blend,Perrin & Fils
France,"Fruity and juicy, this has soft tannins and an open, gentle texture. It has red currant fruit that gives acidity, with only a touch of dry tannins on the finish.",,85,,Bordeaux,Premieres Côtes de Blaye,,Roger Voss,@vossroger,Château la Valade 2008  Premieres Côtes de Blaye,Bordeaux-style Red Blend,Château la Valade
Italy,"Here's a structured and spicy Barbera with an enticing fragrance of black fruits, white pepper and exotic spices. The palate is round and smooth, delivering a tight core of black cherry along with black pepper, cinnamon, mint and thyme. It's delicious now, but thanks to refreshing acidity will also stand the test of time. Drink now through 2020.",Vigna Martina,90,32.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Elio Grasso 2010 Vigna Martina  (Barbera d'Alba),Barbera,Elio Grasso
Italy,"This has aromas of overripe black cherry and spice. The palate reveals mature black fruit, raisin and pepper notes. This is very warm and shows the heat of the vintage, so drink soon.",Campo San Vito,86,20.0,Veneto,Valpolicella Classico Superiore Ripasso,,Kerin O’Keefe,@kerinokeefe,Villa Monteleone 2011 Campo San Vito  (Valpolicella Classico Superiore Ripasso),Red Blend,Villa Monteleone
Argentina,"Sort of gaseous and touchy on the nose, with bramble and sweaty leather rising up once the bouquet opens. The palate offers a quick flash of berry fruit but nothing backing that up, and the finish is gone in seconds. Basically this is a light-bodied quaffer that seeks not to offend.",Elsa,83,-9.0,Mendoza Province,,,Michael Schachner,@wineschach,Valentin Bianchi 2007 Elsa Cabernet Sauvignon,Cabernet Sauvignon,Valentin Bianchi
US,"This value-oriented white delivers nuanced flavor and body, mixing honeyed apple, pear and toasted oak flavors with crisp acidity on the midpalate.",Charm Acres,90,22.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Pali 2015 Charm Acres Chardonnay (Sonoma County),Chardonnay,Pali
France,"This ripe wine with its red fruits and well-balanced texture is beautifully ready to drink, with just the right crisp acidity to balance the soft richness. There is no sign yet of maturity, the fruit from this great vintage showing at its perfumed best. Drink the wine now.",Rosé Brut,94,130.0,Champagne,Champagne,,Roger Voss,@vossroger,Pol Roger 2008 Rosé Brut  (Champagne),Champagne Blend,Pol Roger
Portugal,"Gold in color, this is a wood-aged Port. Despite being 26 years old, it is still lively, almost fruity. The wood character does certainly show strongly, but so do the delicious caramel and toffee flavors, which are balanced by an intense acidity. Like all Colheitas, it is ready to drink.",Colheita,94,80.0,Port,,,Roger Voss,@vossroger,Niepoort 1986 Colheita  (Port),Port,Niepoort
US,"The winery sources this fruit from a vineyard near Hollister. It delivers aromas of bramble berry, espresso-dipped cherry and allspice. Cherry and chocolate power the palate, which also benefits from lifting mint, sagebrush and eucalyptus, finishing with chopped herbs.",Vista Verde Vineyard,93,58.0,California,San Benito County,Central Coast,Matt Kettmann,@mattkettmann,Williams Selyem 2012 Vista Verde Vineyard Pinot Noir (San Benito County),Pinot Noir,Williams Selyem
France,"This is a bargain-priced blend of Grenache, Syrah, Carignan, Mourvèdre and Cinsault. The flavors are ripe and plummy, accented by hints of garrigue, while the tannins are modest and supple.",Cinq Cépages,87,13.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Laudun Chusclan 2013 Cinq Cépages Red (Côtes du Rhône),Rhône-style Red Blend,Laudun Chusclan
Chile,"Blackberry, olive and a touch of juniper rank as herbal but solid. In the mouth, this is round and thick, with good structure. Oak and spice flavors accent blackberry fruit, while the finish deals baked plum, fig and herbal notes.",Crucero Reserva,87,13.0,Colchagua Valley,,,Michael Schachner,@wineschach,Siegel 2011 Crucero Reserva Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Siegel
US,"Cline makes a lot of this wine and they do a good job with it. Soft and leathery in spicy baked plum and blackberry, this is a perfet wine to pair with a myriad of midweek meals and outdoor parties.",,85,12.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Cline 2012 Zinfandel (Lodi),Zinfandel,Cline
Italy,"This is a ripe and plump Brunello that could use two or three years of cellar aging to allow the oak notes to fully integrate. The quality of the fruit is excellent—cherry, blackberry and currants abound. Immediately behind those aromas, however, is loads of spice, smoke and tar. Drink after 2012.",Ugolforte,89,50.0,Tuscany,Brunello di Montalcino,,,,Tenuta San Giorgio 2005 Ugolforte  (Brunello di Montalcino),Sangiovese Grosso,Tenuta San Giorgio
France,"This has a silky texture, with weight and richness. Soft and ripe, this has a hint of spice that's attractively balanced by tangy acidity.",Herrenreben,85,,Alsace,Alsace,,Roger Voss,@vossroger,Henri Schoenheitz 2008 Herrenreben Riesling (Alsace),Riesling,Henri Schoenheitz
Spain,"Watermelon, cantaloupe and peach aromas are just as they should be, while the palate is whole, fresh and full of tangerine and nectarine. Compact, defined and complete, with a smooth, light finish. Nothing miraculous but great for summer sipping.",Rosado,87,12.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2007 Rosado Rosé (Rioja),Rosé,El Coto
Italy,"A blend of equal parts Cabernet Sauvignon, Merlot and Sangiovese, this shows an impressive jump forward in terms of its intensity and complexity. This wine is generous, full and round, and it offers flavors of cherry, leather and chocolate.",Grale,90,23.0,Tuscany,Bolgheri,,,,Le Grascete 2010 Grale  (Bolgheri),Red Blend,Le Grascete
US,"Gravenstein apple, honeysuckle and jasmine aromas show on the relatively boisterous nose of this bottling from a large vineyard on Highway 46 east of Paso Robles. There is compellingly grippy texture to the sip, with ripe flavors of pear and honeydew melon. A salty acidity takes it to the next level.",,89,24.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Broken Earth 2015 Albariño (Paso Robles),Albariño,Broken Earth
US,"This is focused upon a lovely mix of ripe fruits, running from citrus to apple, smooth and lightly buttery. The grapes were sourced from Boushey and Elephant Mountain vineyards, and aged on the lees for a full year.",L'Entente Blanc,90,27.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Ott & Murphy 2010 L'Entente Blanc Marsanne (Yakima Valley),Marsanne,Ott & Murphy
Argentina,"Sharp berry and cherry aromas are like nail polish. A hard palate offers zero give, while plum and cherry flavors are tart before turning more sour and medicinal on the finish.",,81,10.0,Other,San Juan,,Michael Schachner,@wineschach,25 Lagunas 2014 Cabernet Sauvignon (San Juan),Cabernet Sauvignon,25 Lagunas
US,"With only 50 cases made, this offering is completely stainless-steel fermented, providing a wealth of acidity and clarity. From Rued clone vines planted more than 40 years ago, it's twined in white flower and lemon rind, finishing with a slight suggestion of tarte Tatin.",Searby,91,45.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Charles Heintz 2013 Searby Chardonnay (Sonoma Coast),Chardonnay,Charles Heintz
Argentina,"Light green in color, with standard Torrontes aromas of acacia and tropical fruits. The palate is simple and delivers solid flavors of lychee, melon and green herbs; somewhat cloying and confected.",Reserva,83,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Tamarí 2006 Reserva Torrontés (Mendoza),Torrontés,Tamarí
US,"Enormously rich, a powerhouse Syrah packed with ripe red and black currant, cassis, blueberry, chocolate, coffee, cedar and spice flavors. The structure earns the wine extra points, with ultra-refined tannins and crisp acidity. Decadent, and at its best now, in its flashy youth.",Marco DiGiulio,93,100.0,California,Sonoma Valley,Sonoma,,,Lookout Ridge 2005 Marco DiGiulio Syrah (Sonoma Valley),Syrah,Lookout Ridge
US,"Lightly flavored with red fruits, it's pleasant but rather generic. It carries some alcohol heat through a thin finish.",,86,33.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Cave B 2011 Sangiovese (Columbia Valley (WA)),Sangiovese,Cave B
Israel,"Concentrated, ripe and full with aromas and flavors of raspberry, kirsch, mocha and soft pepper. Round in the mouth with a solid, lingering finish loaded with spice. Drink now.",Kosher,86,-15.0,Galilee,,,Lauren Buzzeo,@laurbuzz,Recanati 2006 Kosher Syrah (Galilee),Syrah,Recanati
US,"Juicy and fresh, this wine opens with gorgeous tropical fruit. The medium-weight palate shows sour candy flavors offset by a slight mineral edge and finishes with just enough acidity to carry off the sweetness.",Semi Dry,88,16.0,New York,Finger Lakes,Finger Lakes,,,Dr. Konstantin Frank 2007 Semi Dry Riesling (Finger Lakes),Riesling,Dr. Konstantin Frank
US,"Willful is the reincarnation of Daedalus. The grapes are picked at low yields and fermented with native yeast. Here the Northridge vineyard fruit offers tart blue plum and black cherry flavors, with stiff tannins that carry some stem and herb character. Decanting or aerating helps to open it up and pull out more fruit.",Northridge Vineyard,89,35.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Willful 2012 Northridge Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Willful
Italy,"This one-dimensional wine has muted aromas that recall tropical fruit. The palate doesn't give much away either, revealing subtle citrus and pear notes alongside racy acidity.",Ca' de' Rocchi,84,13.0,Lombardy,Lugana,,Kerin O’Keefe,@kerinokeefe,Tinazzi 2013 Ca' de' Rocchi  (Lugana),White Blend,Tinazzi
US,"Barrel notes of vanilla, cocoa and dill mix with licorice and red fruit. The flavors are tart with light smoky notes and a firm squeeze of tannins.",Caring Passion Estate Grown Tom TK Mathison,86,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Stemilt Creek 2011 Caring Passion Estate Grown Tom TK Mathison Merlot (Columbia Valley (WA)),Merlot,Stemilt Creek
Spain,"Apple skin and generic berry aromas lead to a tangy, thin palate with little substance. Flavors include citrus and cranberry, with a green note. A finish of scouring acidity and residual tang makes this fresh but nothing more.",Rosado,82,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Valdemar 2013 Rosado Rosé (Rioja),Rosé,Bodegas Valdemar
Italy,"Elegant and streamlined in the mouth, this expression from the Vigna del Gris vineyard shows many little aromas of wild berry, bramble, plum, licorice and leather that together form a comprehensive and intense whole. There's a touch of mature strawberry as well and the wine shows the astringent tannins of a wine that will age. Drink after 2018.",Vigna del Gris,89,103.0,Piedmont,Barolo,,,,Conterno Fantino 2005 Vigna del Gris  (Barolo),Nebbiolo,Conterno Fantino
US,"Ripe cranberry and raspberry scents combine with wet slate and marjoram on the nose of this bottling from the Dwarf Oak Vineyard, located in a historic winegrowing region. The palate is broad with macerated raspberry and strawberry fruit, spiced with garrigue and white pepper touches.",,90,25.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Sarah's Vineyard 2014 Pinot Noir (Santa Clara Valley),Pinot Noir,Sarah's Vineyard
US,"This blend of Cabernet Sauvignon and Merlot combines the sharp, herbal edges of Cabernet with the plumminess of Merlot to fine results. Umami notes of brine, mushroom and forest floor add savory complexity. It's a complex yet thoroughly approachable wine that's drinking elegantly now.",,90,26.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Atwater 2013 Cabernet Sauvignon-Merlot (Seneca Lake),Cabernet Sauvignon-Merlot,Atwater
Italy,"This bright and delicious wine is everything a young Morellino should be. It delivers juicy black cherry, white pepper and clove flavors alongside firm but ripe tannins and soft acidity. Made for everyday pleasure, this isn't an ager so enjoy now.",Mentore,88,14.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Fattoria Mantellassi 2012 Mentore  (Morellino di Scansano),Red Blend,Fattoria Mantellassi
US,"A bramble patch of aromas and flavors comes to mind in this blend of Malbec, Cabernet Sauvignon, Cabernet Franc and Merlot: spicy raspberry, blackberry and green stems are prominent. The palate is silky and round in feel, with soft tannins melding against a veil of vanilla and butter.",,86,38.0,Virginia,Virginia,,Alexander Peartree,,Winery at La Grange 2013 Meritage (Virginia),Meritage,Winery at La Grange
US,"Lemony-vanilla crème brûlée rises to the fore in this medium-bodied Chardonnay. Medium to high in acidity, it retains a crisp freshness throughout its layers of fruit, finishing clean.",,87,20.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Wellington 2012 Chardonnay (Sonoma Valley),Chardonnay,Wellington
Italy,"Huge cherry intensity is backed by pretty almond and vanilla bean nuances that help shape a plush, international wine that doesn't stray too far from tradition either. The nose is gorgeous but the mouthfeel is highlighted by oak that blocks out some of the wine's natural freshness.",Riserva,88,,Tuscany,Chianti Classico,,,,Poggio Torselli 2004 Riserva  (Chianti Classico),Sangiovese,Poggio Torselli
Chile,"Talk about an overoaked wine. From the start, this struggles to keep it real. Aromas of shoe polish, vanilla and scorched oak are dominant. Firm and tannic in the mouth, this Carignan tastes almost entirely of wood resin and mint. That this is oaky and resiny on the finish is no surprise.",Edición Limitada,84,35.0,Loncomilla Valley,,,Michael Schachner,@wineschach,Cremaschi Furlotti 2011 Edición Limitada Carignan (Loncomilla Valley),Carignan,Cremaschi Furlotti
US,"The nose on this bottling is a tad fruit-punchy at first, with light red cherry and candied pomegranate aromas, but then picks up complexity with a leather note. The palate also offers that leather alongside tobacco and light elderberry fruit.",Margarita Vineyard,86,18.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Broadside 2014 Margarita Vineyard Merlot (Paso Robles),Merlot,Broadside
Italy,"This earthy expression of Sangiovese offers aromas of fennel, dried hay, rose and a balsamic note. The palate delivers wild cherry, raspberry, clove, savory herb and licorice alongside gripping tannins and firm acidity. It still needs to develop. Drink 2020–2030.",Villa al Cortile,91,65.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Piccini 2010 Villa al Cortile  (Brunello di Montalcino),Sangiovese,Piccini
US,"A deep color, concentrated fruit aromas, and equally concentrated fruit flavors give a lot of depth to this medium-bodied and lushly textured wine. It smells like black cherries and light baking spices, tastes like rhubarb and raspberry but also has some clove and cedar notes that add complexity. It's an all-around palate-pleaser that seems to keep improving hours after opening.",Oppenlander Vineyard,92,38.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Halcon 2014 Oppenlander Vineyard Pinot Noir (Mendocino),Pinot Noir,Halcon
US,"A dazzling Merlot, rich and complex, offering immediately appealing waves of cherry pie, red currant, cola, mocha, brown sugar, cinnamon and sweet oak. Even though the tannins are thick, they're as soft as velvet. The structural integrity of this wine is pure Napa Valley and makes the wine particularly fine.",,92,55.0,California,Napa Valley,Napa,,,La Jota Vineyard 2008 Merlot (Napa Valley),Merlot,La Jota Vineyard
Chile,"Aromas of standard berry fruit have a cheesy accent, while the palate is on the flat side in terms of feel and flavors. With respect to flavor, expect mildly herbal berry tastes and cherry tomato. Snappy on the finish but stretched thin.",,84,10.0,Lontué Valley,,,Michael Schachner,@wineschach,Viña La Fortuna 2007 Cabernet Sauvignon (Lontué Valley),Cabernet Sauvignon,Viña La Fortuna
US,"Drenched with luscious grapey flavors, this medium-bodied wine soothes the palate. Its texture is smooth and carries the fruitiness through the aftertaste.",Estate Grown,87,20.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Barra of Mendocino 2014 Estate Grown Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Barra of Mendocino
US,"Dusty minerals, smoke and pollen notes lend an earthy tone to ripe pineapple, tangerine and lemon flavors in this dry Riesling. It's a bit rustic in style, but fresh citrus acidity and a bristling of lime pith brightens the finish. Drink now through 2019.",Dry,86,17.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Rooster Hill 2014 Dry Riesling (Finger Lakes),Riesling,Rooster Hill
Italy,"The nose is a bit shy but eventually reveals subdued aromas suggesting leather, underbrush, chopped herb and dark-skinned fruit. The robust, enveloping palate doles out fleshy blackberry, mature morello cherry, licorice and vanilla framed in solid tannins. Drink 2019–2026.",,90,33.0,Southern Italy,Taurasi,,Kerin O’Keefe,@kerinokeefe,Le Masciare 2011  Taurasi,Aglianico,Le Masciare
US,"A heap of powerful black fruit, from blackberry to black plum, provide a ripeness and suppleness to this wine, its tannins soft and approachable. On the back end are hints of dill and dried herb and an earthy component that's hard to let go.",,90,80.0,California,Stags Leap District,Napa,Virginie Boone,@vboone,Malk 2012 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Malk
US,"Tasty and easy to drink, this has blackberry, black currant and cola flavors that finish seemingly sweet and oaky. It's an intense wine that doesn't seem likely to make gains with age, so drink up after an hour or two in the decanter.",Reserve,87,45.0,California,Sonoma Valley,Sonoma,,,Kunde 2009 Reserve Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Kunde
US,"Very weak, with watery fruit and medicinal oak flavors. Not offering much, even at this everyday price.",,81,9.0,California,California,California Other,,,Butterfield Station 2006 Chardonnay (California),Chardonnay,Butterfield Station
US,"A little scoury, but delicious, with ripe strawberry, raspberry and orange-preserve flavors. Mostly Pinot Noir, with some Chardonnay, it shows fine acidity and a Champagne-like yeastiness. Drink now.",Blanc de Noirs,89,40.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,,,Schramsberg 2009 Blanc de Noirs Sparkling (Napa-Mendocino-Sonoma-Marin),Sparkling Blend,Schramsberg
Italy,"Made from Cabernet Franc, this opens with scents of purple flowers, toasted oak, exotic spice and red currants. The firmly structured palate doles out blackberries, black cherries, ground black pepper, clove, vanilla and mocha alongside velvety tannins. Drink through 2020.",Iperione,92,90.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Amantis 2010 Iperione Red (Toscana),Red Blend,Amantis
Germany,"Whiffs of spice and slate lend complexity to plump, sunny peach and yellow plum flavors in this off-dry Riesling. It's fruity, approachable and easy, yet elegantly balanced.",Ürziger Würzgarten Kabinett,90,25.0,Mosel,,,Anna Lee C. Iijima,,Dr. Hermann 2014 Ürziger Würzgarten Kabinett Riesling (Mosel),Riesling,Dr. Hermann
Argentina,"Candied black cherry aromas give this a sweet, rich outlook. The palate is bold and heavy, with ripe cassis and other heavy fruit flavors. It's a big, extracted wine that could use more balance and structure. To this taster, it seems denser and duller than past vintages. Frankly it's syrupy and chocolaty on the back palate and finish.",Ultra,86,25.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Kaiken 2006 Ultra Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Kaiken
US,"From the acclaimed Champoux vineyard, this puts the purple fruit in a wrap of pretty baking spices. Barrel aging adds cocoa and coffee, while the acidity is sufficient to keep the wine from feeling too tannic. Another couple of years of bottle age—or brisk decanting—should put it at its peak.",Champoux Vineyard,91,36.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Sineann 2012 Champoux Vineyard Petit Verdot (Columbia Valley (WA)),Petit Verdot,Sineann
Portugal,"The fragrant, delicious Encruzado is the star of this wine. Lightly toasted from wood fermentation and aging, it has great acidity that balances the fresh, bright apples and the ripe textured aftertaste. Drink from 2016.",,90,,Dão,,,Roger Voss,@vossroger,Quinta do Covão 2013 Encruzado (Dão),Encruzado,Quinta do Covão
US,"This was made from a saignée after a full-day's skin contact, resulting in a sultry, soulful, tiny-production wine that's refreshing and fruity in orange and lime, dry and completely in balance.",Rosé of,90,20.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Bruliam 2015 Rosé of Pinot Noir (Sonoma County),Pinot Noir,Bruliam
Spain,"Melon and white-fruit aromas are more generic than specific. This has a lively, fresh mouthfeel, along with flavors of nectarine, melon and persimmon. A lasting finish has a racy feel but offers nothing more in terms of flavors or complexity.",Castell de Raimat,85,11.0,Catalonia,Costers del Segre,,Michael Schachner,@wineschach,Raimat 2012 Castell de Raimat Albariño (Costers del Segre),Albariño,Raimat
US,"Nearly always B-C's top wine or close to it, this quintessential hilltop vineyard combines power and finesse with sheer deliciousness of flavor. Silky and dry, the wine shows an earthy spiciness that undergirds ripe tastes of red cherries, pomegranates and cola. Best now and through 2012.",Mount Carmel,91,76.0,California,Sta. Rita Hills,Central Coast,,,Brewer-Clifton 2006 Mount Carmel Pinot Noir (Sta. Rita Hills),Pinot Noir,Brewer-Clifton
US,"This is a smoky, dusty 100% varietal wine from a tremendous vineyard site in the wilds of Howell Mountain. Sage and forest floor combine around a wall of structured, polished tannin. Dried herbs, leather and black currant accent the full body and wealth of concentration. Cellar through 2023.",Clark-Claudon Vineyard,93,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Midsummer Cellars 2013 Clark-Claudon Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Midsummer Cellars
US,"A big, strong Chardonnay with prominent buttered toast, buttered popcorn, vanilla, and pineapple-orange jam flavors. Elaborate and flashy, but obviously made to appeal to the modern style. Drink up.",Private Reserve,87,37.0,California,Napa Valley,Napa,,,Beringer 2011 Private Reserve Chardonnay (Napa Valley),Chardonnay,Beringer
France,"Touched by wood, this is a warm wine with soft plum flavors and light tannins. It could age well for 4–5 years, but is ready to drink now.",,86,,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Domaine d'Eole 2011 Red (Coteaux d'Aix-en-Provence),Rhône-style Red Blend,Domaine d'Eole
US,"Rose-petal aromas and luscious melon and grapefruit flavors give plenty of interest to this medium-bodied, dry and ultrasmooth wine from a stalwart winery. Delicious on its own for lunch or cocktail hour, it also makes a great counterpoint with Thai food and shellfish.",DrCuvée Traditional,90,16.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Navarro 2014 DrCuvée Traditional Gewürztraminer (Anderson Valley),Gewürztraminer,Navarro
US,"This Pinot Gris has aromas of wax, red apple, underripe white peach and citrus. The white peach note becomes more dominant on the easygoing palate, and it leads to a mineral-like tang that lingers onto the slightly yeasty finish.",Estate Grown,84,20.0,Virginia,Monticello,,,,Pollak 2012 Estate Grown Pinot Gris (Monticello),Pinot Gris,Pollak
Austria,"The grounded, earthy roundness of oak is immediately apparent on the nose, adding floral notes of hay and fresh field mushroom. On the pliable palate, aromatic, pale apple notes play with a touch of citrus and evocative hayflower notes. The body is light, with crisp freshness and a little midpalate texture. It finishes clean and bright.",Sinner,90,25.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Prieler 2016 Sinner Chardonnay (Burgenland),Chardonnay,Prieler
France,"Less successful than some other vintages, this is a crisp, earthy red. Ground pepper, clove and cinnamon mark cranberry fruit, ending dusty and tart. The blend is 50% Grenache, 25% Syrah, 15% Mourvèdre and 10% Cinsault. Ecocert.",Lunar Apogé Made with Organic Grapes,85,20.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Christian Leperchois 2013 Lunar Apogé Made with Organic Grapes Red (Côtes du Rhône),Rhône-style Red Blend,Christian Leperchois
Italy,"Ramitello is a beautiful wine (85% Prugnolo and 15% Aglianico for power and structure) with soft, lush aromas of chocolate, espresso, leather, clove and dense blackberry fruit. The wine is yielding and generous and has absolutely no sharp edges.",Ramitello,88,17.0,Southern Italy,Terra degli Osci,,,,Di Majo Norante 2005 Ramitello Red (Terra degli Osci),Red Blend,Di Majo Norante
US,"Impressively flashy, an opulent wine that immediately offers a blast of blackberries, cherries, currants, red licorice and cedar. But it's quite astringent in tannins. Age this Cabernet-based Bordeaux blend for 5–7 years.",Headwaters,92,40.0,California,Napa Valley,Napa,,,Coho 2007 Headwaters Red (Napa Valley),Bordeaux-style Red Blend,Coho
New Zealand,"This is a bold, assertive Sauvignon Blanc, boasting bright citrus aromas and flavors, lifted by just a sprinkling of cut grass. A bit of creaminess adds dimension on the palate, which then finishes on a burst of lime and grapefruit.",,89,19.0,Marlborough,,,Joe Czerwinski,@JoeCz,Waipara Hills 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Waipara Hills
Germany,"Nervy acidity lends a particularly food-friendly vibe to this light-bodied rosé. It's airy and delicate, rather than deeply concentrated, barely perfumed by whispers of raspberry and rose petal. The finish is brisk, cooling and fresh.",Rosé,87,15.0,Nahe,,,Anna Lee C. Iijima,,Dachshund 2014 Rosé Pinot Noir (Nahe),Pinot Noir,Dachshund
Austria,"The Sandgrube vineyard is one of the larger vineyards in the Krems area, well exposed to the Danube river. This Grüner is soft, finely formed, with a youthful texture that gives a mineral tang. Keep this wine for a year. Screwcap.",Kremser Sandgrube,88,11.0,Niederösterreich,,,Roger Voss,@vossroger,Winzer Krems 2012 Kremser Sandgrube Grüner Veltliner (Niederösterreich),Grüner Veltliner,Winzer Krems
US,"Enormously ripe, with jammy blackberry, cherry, plum, mocha and peppery spice flavors that finish dry. Feels heavy and soft in the mouth, and could use greater elegance and brightness.",Keefer Ranch Vineyard,86,48.0,California,Russian River Valley,Sonoma,,,A.P. Vin 2007 Keefer Ranch Vineyard Pinot Noir (Russian River Valley),Pinot Noir,A.P. Vin
Italy,"Subdued scents of dark-skinned berry, grilled herb, chopped mint and a whiff of fragrant blue flower lead the way. The ripe, round palate doles out fleshy Morello cherry, star anise and a tobacco note alongside evolved, loosely knit tannins. Drink soon.",,88,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Villa Le Prata 2011  Brunello di Montalcino,Sangiovese,Villa Le Prata
US,"While fairly neutral on the nose, the palate of this dry Riesling boasts bright, sunny citrus notes against a backdrop of apple and pear. It's straightforward in style, but crisp, pleasant drinking.",STV Estate Vineyard,85,25.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Silver Thread 2012 STV Estate Vineyard Riesling (Seneca Lake),Riesling,Silver Thread
Bulgaria,"Brilliant yellow with green highlights, this Bulgarian Sauvignon Blanc has aromas and flavors of tropical fruits like mango, papaya and kumquat. There's gentle acidity in the palate and generous mouthfeel.",,86,11.0,Thracian Valley,,,Jeff Jenssen,@worldwineguys,Bulgariana 2012 Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Bulgariana
France,"With good acidity, this is a crisp, dry style of Pinot Gris. Plenty of spice and tropical fruits give richness to this fresh wine.",Tradition,86,23.0,Alsace,Alsace,,Roger Voss,@vossroger,Cave de Turckheim 2013 Tradition Pinot Gris (Alsace),Pinot Gris,Cave de Turckheim
US,"A thick, dark Merlot, cloaked in smooth, fat tannins and redolent of cherry, licorice, blackberry, plum, spice, coffee, sage, thyme and hints of orange peel. Long and sleek, with toasty oak on the finish. Just a hint of tartness at the end, but still a terrific wine.",Peterson Family Vineyard,92,48.0,California,Napa Valley,Napa,,,Switchback Ridge 2000 Peterson Family Vineyard Merlot (Napa Valley),Merlot,Switchback Ridge
